Event ID,Magnitude,Datetime UTC,Latitude,Longitude,Region,Depth(KM,Auth
20181113_0000089,m 3.9,2018-11-13T10:49:02.0Z,17.01,-95.54,"OAXACA, MEXICO",91,UNM
20181113_0000042,ml 2.3,2018-11-13T10:34:18.9Z,38.48,26.82,NEAR THE COAST OF WESTERN TURKEY,9,EMSC
20181113_0000041,ml 2.2,2018-11-13T10:17:54.0Z,39.43,44.03,TURKEY-IRAN BORDER REGION,6,DDA
20181113_0000057,m 4.1,2018-11-13T10:10:00.0Z,-3.8,-79.49,NEAR COAST OF ECUADOR,97,LIM
20181113_0000040,ml 2.5,2018-11-13T10:06:53.0Z,36.36,28.72,DODECANESE IS.-TURKEY BORDER REG,8,EMSC
20181113_0000039,ml 2.5,2018-11-13T09:54:09.1Z,34.03,-116.6,SOUTHERN CALIFORNIA,10,NEIR
20181113_0000076,m 3.9,2018-11-13T09:24:18.0Z,17.21,-94.56,"VERACRUZ, MEXICO",146,UNM
20181113_0000037,ml 3.3,2018-11-13T09:19:04.2Z,61.56,-146.41,SOUTHERN ALASKA,20,NEIR
20181113_0000038,ml 2.0,2018-11-13T09:10:50.0Z,38.3,40.96,EASTERN TURKEY,7,DDA
20181113_0000036,ml 2.2,2018-11-13T09:06:29.5Z,45.75,11.1,NORTHERN ITALY,10,EMSC
20181113_0000034,mb 4.6,2018-11-13T09:06:11.6Z,71.41,-9.25,JAN MAYEN ISLAND REGION,10,EMSC
20181113_0000033,ml 2.4,2018-11-13T08:55:37.4Z,36.39,28.71,DODECANESE IS.-TURKEY BORDER REG,10,EMSC
20181113_0000077,m 3.6,2018-11-13T08:52:05.0Z,17.62,-94.09,"VERACRUZ, MEXICO",165,UNM
20181113_0000032,ml 2.3,2018-11-13T08:50:35.0Z,37.54,-117.16,NEVADA,5,NN
20181113_0000078,m 3.6,2018-11-13T08:42:19.0Z,17.06,-95.32,"OAXACA, MEXICO",101,UNM
20181113_0000031,ml 2.3,2018-11-13T08:25:55.2Z,37.42,42.82,TURKEY-SYRIA-IRAQ BORDER REGION,8,EMSC
20181113_0000046,md 3.2,2018-11-13T08:21:46.0Z,19.31,-66.31,PUERTO RICO REGION,12,NEIR
20181113_0000055,m 4.1,2018-11-13T08:21:30.0Z,8.37,-83.17,COSTA RICA,25,UCR
20181113_0000030,ml 3.4,2018-11-13T08:18:48.4Z,-32.24,-71.78,"OFFSHORE VALPARAISO, CHILE",40,EMSC
